Gene	trt1	trt2	trt3	trt4	ctl1	ctl2	ctl3	ctl4
Zm00001eb003780	391	386	249	326	437	404	468	372
Zm00001eb003790	0	0	0	0	0	0	0	0
Zm00001eb003800	0	0	0	0	0	0	0	0
Zm00001eb003810	596	628	547	472	796	571	535	608
Zm00001eb003820	0	0	0	0	0	0	0	0
Zm00001eb003830	3488	3789	3470	2974	3137	2669	2285	3100
Zm00001eb003840	1258	1722	1629	1286	2133	1536	1586	1890
Zm00001eb003850	31	74	38	31	81	32	16	22
Zm00001eb003860	0	0	0	0	0	0	0	0
Zm00001eb003870	0	0	0	0	0	0	7	0
Zm00001eb003880	230	361	353	266	504	330	309	421
Zm00001eb003890	996	1221	898	902	1937	1257	1249	1117
Zm00001eb003900	76	128	132	113	157	74	91	108
Zm00001eb003910	0	0	0	0	0	0	0	0
Zm00001eb003920	0	0	0	0	0	0	0	0
Zm00001eb003930	399	392	365	424	451	379	401	432
Zm00001eb003940	0	0	0	0	0	0	0	0
Zm00001eb003950	0	0	0	0	0	0	0	0
Zm00001eb003960	0	0	0	0	0	0	0	0
Zm00001eb003970	159	238	240	212	187	155	152	268
Zm00001eb004000	10	11	4	17	52	27	25	17
Zm00001eb004020	0	0	0	0	0	2	8	0
Zm00001eb004030	3389	3730	3503	3445	3364	2614	2606	2724
Zm00001eb004040	0	0	0	0	0	0	0	0
Zm00001eb004050	255	245	192	162	252	168	108	155
Zm00001eb004060	0	0	9	0	0	1	0	0
Zm00001eb004070	0	0	0	0	0	0	0	0
Zm00001eb004080	0	0	0	0	0	0	0	0
Zm00001eb004090	593	615	388	459	672	455	324	416
Zm00001eb004100	0	0	0	0	0	0	0	0
Zm00001eb004110	0	0	0	0	0	0	0	0
Zm00001eb004120	1099	1179	1088	1100	1338	1032	826	1144
Zm00001eb004130	0	0	0	6	2	0	0	2
Zm00001eb004140	40	50	31	23	156	176	119	83
Zm00001eb004150	0	0	0	0	0	0	0	0
Zm00001eb004160	539	555	772	863	615	498	768	668
Zm00001eb004170	4822	5493	4574	4726	5618	4768	3665	4413
Zm00001eb004180	612	637	710	527	840	751	862	850
Zm00001eb004190	279	320	304	309	295	244	331	311
Zm00001eb004200	16	9	0	3	0	0	6	4
Zm00001eb004210	775	851	666	817	639	427	601	647
Zm00001eb004220	0	0	0	0	0	0	0	0
Zm00001eb004230	0	0	0	0	0	0	0	0
Zm00001eb004240	248	328	232	215	267	149	268	246
Zm00001eb004250	24	90	56	15	52	14	84	43
Zm00001eb004260	0	0	0	0	0	0	0	0
Zm00001eb004280	0	0	0	0	0	2	0	0
Zm00001eb004290	1072	1564	1226	1155	1674	1341	1251	1439
Zm00001eb004300	7	0	2	0	8	0	9	6
Zm00001eb004310	1316	1606	1372	1492	1206	1034	1020	1124
Zm00001eb004320	39	72	101	85	113	76	126	102
Zm00001eb004330	0	0	0	0	0	0	0	0
Zm00001eb004340	62	85	104	55	72	57	55	50
Zm00001eb004350	0	0	0	0	0	0	0	0
Zm00001eb004360	0	0	0	0	0	5	0	8
Zm00001eb004370	2461	2852	2617	2290	3318	2272	2501	2878
Zm00001eb004380	0	0	0	0	0	0	0	0
Zm00001eb004390	0	0	0	0	0	0	0	0
Zm00001eb004400	1252	1398	1166	1350	1832	1535	1820	2029
Zm00001eb004410	19	14	37	4	21	22	34	48
Zm00001eb004420	7157	7919	6691	6442	14395	10261	7591	8699
Zm00001eb004430	28	45	34	68	53	21	15	55
Zm00001eb004440	1118	1317	940	939	2047	1304	930	998
Zm00001eb004450	0	0	0	0	0	0	0	0
Zm00001eb004460	0	0	0	0	0	0	0	0
Zm00001eb004470	0	0	0	0	0	0	0	4
Zm00001eb004480	109	87	56	92	258	118	157	124
Zm00001eb004490	695	836	802	628	5282	3578	2625	2516
Zm00001eb004500	1097	1178	851	1014	1702	1211	967	1128
Zm00001eb004510	18	21	8	10	7	2	1	0
Zm00001eb004530	0	0	0	0	0	1	0	0
Zm00001eb004540	45	83	103	52	117	65	70	84
Zm00001eb004550	35	18	18	26	78	49	13	21
Zm00001eb004560	204	256	202	229	256	166	242	369
Zm00001eb004570	245	215	174	140	234	165	122	247
Zm00001eb004590	351	329	408	334	536	293	464	378
Zm00001eb004600	0	0	0	0	0	0	0	0
Zm00001eb004610	0	0	0	0	0	0	0	0
Zm00001eb004630	340	567	391	475	401	313	382	403
Zm00001eb004640	0	0	0	0	0	0	0	0
Zm00001eb004650	0	0	0	0	0	0	0	0
Zm00001eb004660	9887	10320	8061	9346	12480	8208	7415	7892
Zm00001eb004670	30	22	18	54	54	57	39	53
Zm00001eb004690	0	0	0	0	0	0	0	0
Zm00001eb004710	0	0	0	0	0	0	0	0
Zm00001eb004720	0	0	0	0	0	0	0	0
Zm00001eb004730	0	0	0	0	0	0	0	0
Zm00001eb004740	0	0	0	0	0	0	0	0
Zm00001eb004750	0	6	0	0	0	0	0	0
Zm00001eb004760	6	31	18	21	90	46	35	4
Zm00001eb004770	239	286	237	194	220	144	181	215
Zm00001eb004780	320	338	370	318	423	309	291	302
Zm00001eb004790	1167	1200	1010	1071	1192	883	660	1144
Zm00001eb004800	0	0	0	0	0	0	0	0
Zm00001eb004810	4	10	0	0	14	5	0	0
Zm00001eb004820	0	0	0	0	0	0	0	0
Zm00001eb004830	9	4	3	3	16	0	4	1
Zm00001eb004840	0	0	0	0	0	0	0	0
Zm00001eb004850	0	0	0	0	0	0	0	0
Zm00001eb004860	0	0	0	0	0	0	0	0
Zm00001eb004880	3	0	0	0	0	2	0	3
Zm00001eb004890	0	0	0	0	0	0	0	0
Zm00001eb004900	0	0	0	0	0	0	0	0
Zm00001eb004920	0	0	0	0	0	0	0	0
Zm00001eb004940	959	970	849	940	1310	1056	1212	1054
Zm00001eb004950	0	0	0	0	0	0	0	0
Zm00001eb004960	17	53	42	83	20	9	59	46
Zm00001eb004970	0	0	0	0	0	0	0	0
Zm00001eb004980	0	0	0	0	0	0	0	0
Zm00001eb004990	803	928	795	802	958	747	579	853
Zm00001eb005000	125	180	140	136	183	131	132	156
Zm00001eb005010	29	64	9	14	38	3	47	24
Zm00001eb005020	2720	3495	2544	3077	2878	2417	2295	2793
Zm00001eb005030	369	458	517	619	542	394	428	668
Zm00001eb005040	0	0	0	0	0	0	0	0
Zm00001eb005060	137	114	51	48	75	79	109	74
Zm00001eb005070	2575	3159	2651	2772	3209	2398	2274	2981
Zm00001eb005080	0	0	0	0	0	0	0	0
Zm00001eb005100	54	44	80	48	258	165	205	139
Zm00001eb005110	76	62	39	53	24	19	1	7
Zm00001eb005120	40	70	24	63	69	39	22	38
Zm00001eb005130	10	2	8	16	22	6	17	13
Zm00001eb005140	197	224	222	207	111	161	156	159
Zm00001eb005150	0	0	0	0	0	0	0	0
Zm00001eb005160	0	0	0	0	0	0	0	0
Zm00001eb005170	0	0	0	11	0	0	0	0
Zm00001eb005180	0	0	0	0	0	0	0	0
Zm00001eb005190	19	20	8	19	9	3	26	22
Zm00001eb005200	0	0	0	0	0	0	0	0
Zm00001eb005210	10	20	0	0	13	3	9	14
Zm00001eb005220	751	993	759	714	993	678	603	806
Zm00001eb005230	115	79	85	158	52	72	38	96
Zm00001eb005240	0	0	0	0	0	0	0	0
Zm00001eb005250	0	0	0	0	0	0	0	0
Zm00001eb005260	0	0	0	0	0	0	0	0
Zm00001eb005270	422	451	327	393	365	199	235	336
Zm00001eb005280	373	490	496	472	485	293	257	501
Zm00001eb005290	0	0	21	0	0	0	0	0
Zm00001eb005300	0	0	1	0	0	0	0	3
Zm00001eb005310	0	0	0	0	0	0	0	0
Zm00001eb005320	319	388	257	335	350	301	220	328
Zm00001eb005330	2973	3372	2827	2633	4535	2967	2292	2745
Zm00001eb005340	374	502	371	519	435	304	282	378
Zm00001eb005350	2	14	12	0	14	1	3	11
Zm00001eb005360	7	16	5	0	21	9	23	11
Zm00001eb005370	193	235	130	178	233	166	106	192
